quote,author,context,source
"Hate to say it but we're sandwiched alright... Quick, in that cabin!",Leon Kennedy,when he and Ashley get stuck between two hordes of angry villagers,Resident Evil 4
Sounds more like an alien invasion if you ask me.,Leon Kennedy,mocking Saddler's plan to rule the world,Resident Evil 4
"Sorry, but following a lady's lead just isn't my style.",Leon Kennedy,refusing to give into Ada's demand to put his hands up,Resident Evil 4
"A bit of advice, try using knives next time. Works better for close encounters.",Leon Kennedy,giving life advice to Ada,Resident Evil 4
You're right hand comes off?,Leon Kennedy,scoffing at Salazar's threat to send his right-hand man to kill him,Resident Evil 4
"Saddler, YOU'RE small time.",Leon Kennedy,when Saddler downplays Salazar's defeat because Salazar was a 'small time' subordinate,Resident Evil 4
Can't remember the name? A senior moment perhaps.,Leon Kennedy,mocking Saddler's memory,Resident Evil 4
"Better try a new trick, 'cause that one's gettin' old.",Leon Kennedy,mocking Saddler for failing to use his mind-control power,Resident Evil 4
"Hey, Hunnigan, no glasses!",Leon Kennedy,shocked at how cute Hunnigan is without her glasses,Resident Evil 4
"You know, you're kinda cute without those glasses. Gimme your number when I get back?",Leon Kennedy,trying to hit on Hunnigan,Resident Evil 4
Story of my life.,Leon Kennedy,after Hunnigan reminds Leon that he's still on duty when he tries to hit on her,Resident Evil 4
I knew you'd be fine if you landed on your butt!,Leon Kennedy,justifying his decision to make Ashley jump down a trash chute,Resident Evil 4
Luuuuiiiiisss!,Leon Kennedy,in pain as Luis passes away before his very eyes,Resident Evil 4
"And I lost over seventy-thousand people, including the President, because of Simmons!",Leon Kennedy,one-upping Chris' trauma,Resident Evil 6
So what's so special about this church? You have some sins to confess?,Leon Kennedy,after Helena insists on getting to the church,Resident Evil 6
"Hey, shit-for-brains! Over here!",Leon Kennedy,to Ustanak,Resident Evil 6
"Hope you got friends on the other side, 'cause no one's gonna miss you here.",Leon Kennedy,to Simmons after he transforms into a dinosaur,Resident Evil 6
ADA!,Leon Kennedy,every time Ada leaves him,Every Resident Evil Game
No. We're sticking together.,Leon Kennedy,stayin' with Helena instead of running after Ada 'cuz Helena is new bae,Resident Evil 6
Stay sharp!,Ada Wong,saving Leon's ass from a zombie dog,Resident Evil 2 Remake
Do yourself a favor: stop asking questions and get the hell out of here.,Ada Wong,politely telling Leon to shut the fuck up,Resident Evil 2 Remake
This is getting old...saving your ass - that's twice.,Ada Wong,after saving Leon's ass yet again,Resident Evil 2 Remake
"Persistent bastard, aren't you?",Ada Wong,when Mr. X chases after her yet again,Resident Evil 2 Remake
We'll call it even.,Ada Wong,saving Leon's ass from Mr. X by sending him a rocket launcher,Resident Evil 2 Remake
"Maybe you forgot, Wesker. I don't always play by your rules.",Ada Wong,moving to save Leon despite Wesker's orders,Resident Evil 4
"Need a ride, handsome?",Ada Wong,hitting on Leon,Resident Evil 4
That's a large thing you have there... but I don't like it when men play rough.,Ada Wong,after killing Krauser,Resident Evil 4
"Don't worry, I'll take good care of it.",Ada Wong,stealing the Plaga sample from Leon,Resident Evil 4
"The more things change, the more they stay the same.",Ada Wong,after Leon asks for help,Resident Evil 6
You should put her down... if you have any sympathy for her.,Ada Wong,pushing Helena to finish off her mutated sister,Resident Evil 6
"We're up against the people who REALLY run this country... in a very dangerous game, and if you don't play your hand right...",Ada Wong,laying down the cards to Leon and Helena,Resident Evil 6
"If she wants a game, she'll get one. With the REAL Ada Wong.",Ada Wong,preparing to take down her double,Resident Evil 6
Chainsaw huh? How elegant.,Ada Wong,being confronted by a chainsaw-wielding zombie,Resident Evil 6
I suppose I should return the kindness their parents showed to me.,Ada Wong,in reference to Sherry Birkin and Jake (Wesker) Muller,Resident Evil 6
Time to save the day again. Poor little Sherry. How the monsters love to chase you.,Ada Wong,saving Sherry from a chainsaw monster,Resident Evil 6
"Hate to break it to you, but you're nothing but a cheap knockoff, at best.",Ada Wong,in reference to her double calling herself the 'real' Ada Wong,Resident Evil 6
A fucking pocket knife?!,Ethan Winters,when the copper only gives him a fucking pocket knife,Resident Evil 7
What the fuck? That's special...,Ethan Winters,after watching spider Marguerite crawl away,Resident Evil 7
I'm not playing.,Ethan Winters,upon showing Eveline the E-Necrotoxin,Resident Evil 7
The fuck took you guys so long?,Ethan Winters,after Chris and the bois FINALLY show up,Resident Evil 7
Bunch of crazy witches...,Ethan Winters,after freeing himself from Dimitrescu's room,Resident Evil Village
"Looks like your outside matches your inside now, psycho witch.",Ethan Winters,after Dimitrescu transforms,Resident Evil Village
You're the one who's cursed.,Ethan Winters,after Dimitrescu curses him as she dies,Resident Evil Village
I'll just be taking this...,Ethan Winters,being a dumbass and talking to Moreau instead of just leaving,Resident Evil Village
Miranda sent you to slow me down? You're pathetic.,Ethan Winters,bullying poor 'ol Moreau,Resident Evil Village
In death as he was in life. Disgusting.,Ethan Winters,after Moreau explodes,Resident Evil Village
"You're the last asshole in my way, aren't you?",Ethan Winters,to Heisenberg over Moreau's TV,Resident Evil Village
Eat shit.,Ethan Winters,after kicking Urias' ass,Resident Evil Village
I'll take my chances.,Ethan Winters,being an absolute badass,Resident Evil Village
"Fuck you, you crazy bitch!",Ethan Winters,when Miranda shows up and starts acting like a crazy bitch,Resident Evil Village
I... will... save... Rose!,Ethan Winters,struggling to recover after Miranda rips out his heart,Resident Evil Village
Why the hell can't you realize Rose is my goddamn kid! Not yours!,Ethan Winters,as Miranda tries to take Rose as her own daughter,Resident Evil Village
"Ever think the problem might be you, Miranda? You're not capable of real love!",Ethan Winters,when Miranda complains that the village couldn't help her loneliness,Resident Evil Village
"Goodbye, Rosemary.",Ethan Winters,moments before his death,Resident Evil Village
